# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf    : 9.785800e+02
# lRef       : 5.000000e-02
# Aref       : 1.966460e-05
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
2.000194932e-05	-1.255193e+00	8.059337e-01	-1.543664e+00	-2.027025e+00	4.833610e-01
2.000389864e-05	-1.252054e+00	8.045962e-01	-1.540864e+00	-2.022487e+00	4.816223e-01
2.000584795e-05	-1.254354e+00	8.055467e-01	-1.542874e+00	-2.025791e+00	4.829168e-01
2.000779727e-05	-1.253826e+00	8.053224e-01	-1.542381e+00	-2.025017e+00	4.826360e-01
2.000974659e-05	-1.254681e+00	8.056702e-01	-1.543110e+00	-2.026236e+00	4.831264e-01
2.001169591e-05	-1.254879e+00	8.057468e-01	-1.543258e+00	-2.026508e+00	4.832496e-01
2.001364522e-05	-1.255400e+00	8.059567e-01	-1.543692e+00	-2.027246e+00	4.835539e-01
2.001559454e-05	-1.255767e+00	8.061032e-01	-1.543990e+00	-2.027762e+00	4.837718e-01
2.001754386e-05	-1.256211e+00	8.062816e-01	-1.544356e+00	-2.028389e+00	4.840333e-01
2.001949318e-05	-1.256619e+00	8.064448e-01	-1.544689e+00	-2.028963e+00	4.842741e-01
2.00214425e-05	-1.257046e+00	8.066162e-01	-1.545040e+00	-2.029565e+00	4.845259e-01
2.002339181e-05	-1.257464e+00	8.067839e-01	-1.545382e+00	-2.030155e+00	4.847728e-01
2.002534113e-05	-1.257888e+00	8.069538e-01	-1.545730e+00	-2.030752e+00	4.850228e-01
2.002729045e-05	-1.258309e+00	8.071229e-01	-1.546075e+00	-2.031347e+00	4.852716e-01
2.002923977e-05	-1.258732e+00	8.072926e-01	-1.546422e+00	-2.031943e+00	4.855214e-01
2.003118908e-05	-1.259155e+00	8.074622e-01	-1.546769e+00	-2.032540e+00	4.857710e-01
2.00331384e-05	-1.259579e+00	8.076321e-01	-1.547116e+00	-2.033137e+00	4.860210e-01
2.003508772e-05	-1.260002e+00	8.078019e-01	-1.547462e+00	-2.033733e+00	4.862709e-01
2.003703704e-05	-1.260426e+00	8.079718e-01	-1.547809e+00	-2.034330e+00	4.865211e-01
2.003898635e-05	-1.260849e+00	8.081417e-01	-1.548156e+00	-2.034928e+00	4.867713e-01
2.004093567e-05	-1.261273e+00	8.083118e-01	-1.548503e+00	-2.035525e+00	4.870217e-01
2.004288499e-05	-1.261698e+00	8.084819e-01	-1.548851e+00	-2.036123e+00	4.872722e-01
2.004483431e-05	-1.262122e+00	8.086520e-01	-1.549198e+00	-2.036721e+00	4.875229e-01
2.004678363e-05	-1.262547e+00	8.088223e-01	-1.549546e+00	-2.037320e+00	4.877738e-01
2.004873294e-05	-1.262971e+00	8.089926e-01	-1.549893e+00	-2.037918e+00	4.880247e-01
2.005068226e-05	-1.263396e+00	8.091630e-01	-1.550241e+00	-2.038517e+00	4.882759e-01
2.005263158e-05	-1.263822e+00	8.093334e-01	-1.550589e+00	-2.039116e+00	4.885271e-01
2.00545809e-05	-1.264247e+00	8.095039e-01	-1.550937e+00	-2.039715e+00	4.887784e-01
2.005653021e-05	-1.264672e+00	8.096745e-01	-1.551285e+00	-2.040315e+00	4.890299e-01
2.005847953e-05	-1.265098e+00	8.098450e-01	-1.551633e+00	-2.040915e+00	4.892814e-01
2.006042885e-05	-1.265524e+00	8.100157e-01	-1.551981e+00	-2.041514e+00	4.895331e-01
2.006237817e-05	-1.265950e+00	8.101863e-01	-1.552329e+00	-2.042114e+00	4.897849e-01
2.006432749e-05	-1.266376e+00	8.103570e-01	-1.552678e+00	-2.042714e+00	4.900368e-01
2.00662768e-05	-1.266802e+00	8.105278e-01	-1.553026e+00	-2.043315e+00	4.902887e-01
2.006822612e-05	-1.267228e+00	8.106985e-01	-1.553374e+00	-2.043915e+00	4.905408e-01
2.007017544e-05	-1.267654e+00	8.108694e-01	-1.553723e+00	-2.044516e+00	4.907930e-01
2.007212476e-05	-1.268081e+00	8.110402e-01	-1.554071e+00	-2.045117e+00	4.910453e-01
2.007407407e-05	-1.268508e+00	8.112111e-01	-1.554420e+00	-2.045718e+00	4.912977e-01
2.007602339e-05	-1.268935e+00	8.113820e-01	-1.554769e+00	-2.046319e+00	4.915502e-01
2.007797271e-05	-1.269361e+00	8.115530e-01	-1.555117e+00	-2.046920e+00	4.918028e-01
2.007992203e-05	-1.269789e+00	8.117240e-01	-1.555466e+00	-2.047522e+00	4.920555e-01
2.008187135e-05	-1.270216e+00	8.118950e-01	-1.555815e+00	-2.048123e+00	4.923083e-01
2.008382066e-05	-1.270643e+00	8.120661e-01	-1.556164e+00	-2.048725e+00	4.925612e-01
2.008576998e-05	-1.271071e+00	8.122372e-01	-1.556513e+00	-2.049327e+00	4.928142e-01
2.00877193e-05	-1.271498e+00	8.124083e-01	-1.556862e+00	-2.049929e+00	4.930673e-01
2.008966862e-05	-1.271926e+00	8.125795e-01	-1.557211e+00	-2.050531e+00	4.933205e-01
2.009161793e-05	-1.272354e+00	8.127507e-01	-1.557560e+00	-2.051134e+00	4.935738e-01
2.009356725e-05	-1.272782e+00	8.129219e-01	-1.557909e+00	-2.051736e+00	4.938271e-01
2.009551657e-05	-1.273209e+00	8.130930e-01	-1.558258e+00	-2.052338e+00	4.940804e-01
2.009746589e-05	-1.273637e+00	8.132641e-01	-1.558607e+00	-2.052941e+00	4.943338e-01
2.00994152e-05	-1.274065e+00	8.134354e-01	-1.558956e+00	-2.053543e+00	4.945874e-01
2.010136452e-05	-1.274493e+00	8.136066e-01	-1.559305e+00	-2.054146e+00	4.948410e-01
2.010331384e-05	-1.274922e+00	8.137778e-01	-1.559654e+00	-2.054749e+00	4.950947e-01
2.010526316e-05	-1.275350e+00	8.139491e-01	-1.560003e+00	-2.055352e+00	4.953485e-01
2.010721248e-05	-1.275779e+00	8.141204e-01	-1.560353e+00	-2.055955e+00	4.956024e-01
2.010916179e-05	-1.276207e+00	8.142917e-01	-1.560702e+00	-2.056558e+00	4.958564e-01
2.011111111e-05	-1.276636e+00	8.144631e-01	-1.561051e+00	-2.057162e+00	4.961105e-01
2.011306043e-05	-1.277065e+00	8.146345e-01	-1.561401e+00	-2.057766e+00	4.963647e-01
2.011500975e-05	-1.277494e+00	8.148059e-01	-1.561750e+00	-2.058369e+00	4.966190e-01
2.011695906e-05	-1.277923e+00	8.149773e-01	-1.562100e+00	-2.058973e+00	4.968733e-01
2.011890838e-05	-1.278353e+00	8.151488e-01	-1.562450e+00	-2.059577e+00	4.971278e-01
2.01208534e-05	-1.278792e+00	8.153246e-01	-1.562808e+00	-2.060196e+00	4.973881e-01
2.012279841e-05	-1.279221e+00	8.154958e-01	-1.563157e+00	-2.060799e+00	4.976421e-01
2.012474343e-05	-1.279649e+00	8.156671e-01	-1.563506e+00	-2.061402e+00	4.978963e-01
2.012668844e-05	-1.280078e+00	8.158385e-01	-1.563855e+00	-2.062006e+00	4.981508e-01
2.012863346e-05	-1.280507e+00	8.160098e-01	-1.564204e+00	-2.062609e+00	4.984052e-01
2.013057847e-05	-1.280936e+00	8.161812e-01	-1.564553e+00	-2.063213e+00	4.986598e-01
2.013252348e-05	-1.281366e+00	8.163525e-01	-1.564902e+00	-2.063817e+00	4.989144e-01
2.01344685e-05	-1.281795e+00	8.165239e-01	-1.565252e+00	-2.064421e+00	4.991691e-01
2.013641351e-05	-1.282224e+00	8.166953e-01	-1.565601e+00	-2.065025e+00	4.994239e-01
2.013835853e-05	-1.282654e+00	8.168668e-01	-1.565950e+00	-2.065629e+00	4.996788e-01
2.014030354e-05	-1.283083e+00	8.170383e-01	-1.566299e+00	-2.066233e+00	4.999338e-01
2.014224856e-05	-1.283513e+00	8.172097e-01	-1.566649e+00	-2.066838e+00	5.001888e-01
2.014419357e-05	-1.283943e+00	8.173812e-01	-1.566998e+00	-2.067442e+00	5.004440e-01
2.014613859e-05	-1.284373e+00	8.175528e-01	-1.567348e+00	-2.068047e+00	5.006992e-01
2.01480836e-05	-1.284803e+00	8.177243e-01	-1.567697e+00	-2.068652e+00	5.009546e-01
2.015002862e-05	-1.285234e+00	8.178959e-01	-1.568047e+00	-2.069257e+00	5.012100e-01
2.015197363e-05	-1.285664e+00	8.180675e-01	-1.568397e+00	-2.069862e+00	5.014655e-01
2.015391865e-05	-1.286094e+00	8.182390e-01	-1.568746e+00	-2.070467e+00	5.017210e-01
2.015586366e-05	-1.286524e+00	8.184105e-01	-1.569096e+00	-2.071072e+00	5.019766e-01
2.015780867e-05	-1.286955e+00	8.185821e-01	-1.569445e+00	-2.071677e+00	5.022322e-01
2.015975369e-05	-1.287385e+00	8.187537e-01	-1.569795e+00	-2.072283e+00	5.024880e-01
2.01616987e-05	-1.287816e+00	8.189253e-01	-1.570144e+00	-2.072888e+00	5.027439e-01
2.016364372e-05	-1.288247e+00	8.190969e-01	-1.570494e+00	-2.073494e+00	5.029998e-01
2.016558873e-05	-1.288678e+00	8.192686e-01	-1.570844e+00	-2.074100e+00	5.032558e-01
2.016753375e-05	-1.289109e+00	8.194403e-01	-1.571194e+00	-2.074706e+00	5.035120e-01
2.016947876e-05	-1.289540e+00	8.196120e-01	-1.571544e+00	-2.075312e+00	5.037682e-01
2.017142378e-05	-1.289971e+00	8.197837e-01	-1.571894e+00	-2.075918e+00	5.040245e-01
2.017336879e-05	-1.290403e+00	8.199555e-01	-1.572244e+00	-2.076524e+00	5.042809e-01
2.017531381e-05	-1.290834e+00	8.201272e-01	-1.572594e+00	-2.077131e+00	5.045374e-01
2.017725882e-05	-1.291266e+00	8.202990e-01	-1.572944e+00	-2.077738e+00	5.047940e-01
2.017920383e-05	-1.291698e+00	8.204708e-01	-1.573294e+00	-2.078344e+00	5.050506e-01
2.018114885e-05	-1.292129e+00	8.206426e-01	-1.573644e+00	-2.078951e+00	5.053074e-01
2.018309386e-05	-1.292561e+00	8.208145e-01	-1.573994e+00	-2.079558e+00	5.055642e-01
2.018503888e-05	-1.292993e+00	8.209864e-01	-1.574344e+00	-2.080166e+00	5.058212e-01
2.018698389e-05	-1.293426e+00	8.211583e-01	-1.574695e+00	-2.080773e+00	5.060782e-01
2.018892891e-05	-1.293858e+00	8.213302e-01	-1.575045e+00	-2.081381e+00	5.063354e-01
