# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf    : 2.764500e+03
# lRef       : 5.000000e-02
# Aref       : 1.966460e-05
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
2.808988764e-09	-2.047136e-02	1.133710e-02	-2.351447e-02	-3.222859e-02	8.714118e-03
5.839964482e-09	9.235334e-02	-5.189219e-02	1.058296e-01	1.452682e-01	-3.943852e-02
8.270673615e-09	-7.989222e-02	4.353741e-02	-9.225385e-02	-1.260191e-01	3.376530e-02
1.048930746e-08	8.727477e-03	-5.985125e-03	9.738147e-03	1.359655e-02	-3.858404e-03
1.259017941e-08	-3.554930e-02	1.900649e-02	-4.129168e-02	-5.619514e-02	1.490346e-02
1.462188686e-08	-1.404879e-02	6.863807e-03	-1.641097e-02	-2.225427e-02	5.843298e-03
1.660055777e-08	-2.458568e-02	1.293102e-02	-2.861655e-02	-3.889395e-02	1.027741e-02
1.854403493e-08	-1.954614e-02	1.005768e-02	-2.273301e-02	-3.091264e-02	8.179631e-03
2.046094111e-08	-2.202618e-02	1.153674e-02	-2.561915e-02	-3.483575e-02	9.216600e-03
2.235927262e-08	-2.086857e-02	1.088046e-02	-2.424603e-02	-3.299159e-02	8.745558e-03
2.424660993e-08	-2.146973e-02	1.126556e-02	-2.494468e-02	-3.394207e-02	8.997386e-03
2.612305876e-08	-2.121830e-02	1.113459e-02	-2.463466e-02	-3.353563e-02	8.900970e-03
2.799230433e-08	-2.138256e-02	1.125593e-02	-2.482076e-02	-3.379294e-02	8.972183e-03
2.98579621e-08	-2.134560e-02	1.125035e-02	-2.476612e-02	-3.372866e-02	8.962539e-03
3.172003894e-08	-2.140734e-02	1.130567e-02	-2.483125e-02	-3.382297e-02	8.991714e-03
3.358211579e-08	-2.142170e-02	1.132921e-02	-2.483925e-02	-3.384133e-02	9.002077e-03
3.544778738e-08	-2.146084e-02	1.136773e-02	-2.487793e-02	-3.389981e-02	9.021878e-03
3.731707462e-08	-2.148495e-02	1.139563e-02	-2.489874e-02	-3.393432e-02	9.035579e-03
3.91899986e-08	-2.151618e-02	1.142723e-02	-2.492851e-02	-3.398043e-02	9.051923e-03
4.1070253e-08	-2.154100e-02	1.145420e-02	-2.495125e-02	-3.401663e-02	9.065372e-03
4.295790998e-08	-2.156915e-02	1.148239e-02	-2.497812e-02	-3.405821e-02	9.080084e-03
4.485304284e-08	-2.159563e-02	1.150894e-02	-2.500335e-02	-3.409730e-02	9.093949e-03
4.675572602e-08	-2.162270e-02	1.153525e-02	-2.502953e-02	-3.413747e-02	9.107937e-03
4.866987115e-08	-2.164968e-02	1.156095e-02	-2.505580e-02	-3.417758e-02	9.121776e-03
5.059175019e-08	-2.167606e-02	1.158585e-02	-2.508161e-02	-3.421687e-02	9.135256e-03
5.252537188e-08	-2.170306e-02	1.161062e-02	-2.510831e-02	-3.425721e-02	9.148906e-03
5.446691825e-08	-2.172908e-02	1.163443e-02	-2.513406e-02	-3.429611e-02	9.162052e-03
5.641245957e-08	-2.175512e-02	1.165786e-02	-2.516000e-02	-3.433513e-02	9.175124e-03
5.834208645e-08	-2.177912e-02	1.167977e-02	-2.518378e-02	-3.437101e-02	9.187237e-03
6.025992334e-08	-2.180479e-02	1.170222e-02	-2.520961e-02	-3.440959e-02	9.199982e-03
6.216608982e-08	-2.182933e-02	1.172371e-02	-2.523430e-02	-3.444648e-02	9.212175e-03
6.406070378e-08	-2.185431e-02	1.174512e-02	-2.525964e-02	-3.448413e-02	9.224487e-03
6.594767817e-08	-2.187929e-02	1.176623e-02	-2.528511e-02	-3.452185e-02	9.236739e-03
6.78270591e-08	-2.190400e-02	1.178691e-02	-2.531038e-02	-3.455919e-02	9.248811e-03
6.970265858e-08	-2.192901e-02	1.180750e-02	-2.533609e-02	-3.459705e-02	9.260959e-03
7.157448421e-08	-2.195353e-02	1.182758e-02	-2.536136e-02	-3.463421e-02	9.272849e-03
7.34425436e-08	-2.197802e-02	1.184742e-02	-2.538669e-02	-3.467137e-02	9.284679e-03
7.531060299e-08	-2.200261e-02	1.186710e-02	-2.541221e-02	-3.470872e-02	9.296505e-03
7.717489613e-08	-2.202609e-02	1.188596e-02	-2.543655e-02	-3.474437e-02	9.307819e-03
7.903918927e-08	-2.205022e-02	1.190501e-02	-2.546171e-02	-3.478108e-02	9.319369e-03
8.090348241e-08	-2.207371e-02	1.192351e-02	-2.548620e-02	-3.481681e-02	9.330606e-03
8.276777555e-08	-2.209725e-02	1.194189e-02	-2.551083e-02	-3.485266e-02	9.341833e-03
8.463206868e-08	-2.212047e-02	1.195993e-02	-2.553516e-02	-3.488805e-02	9.352890e-03
8.649636182e-08	-2.214355e-02	1.197773e-02	-2.555939e-02	-3.492325e-02	9.363853e-03
8.836446742e-08	-2.216678e-02	1.199549e-02	-2.558385e-02	-3.495871e-02	9.374851e-03
9.023257302e-08	-2.218917e-02	1.201264e-02	-2.560742e-02	-3.499288e-02	9.385464e-03
9.210452246e-08	-2.221212e-02	1.202998e-02	-2.563168e-02	-3.502796e-02	9.396287e-03
9.39764719e-08	-2.223242e-02	1.204567e-02	-2.565293e-02	-3.505888e-02	9.405950e-03
9.585229701e-08	-2.225606e-02	1.206314e-02	-2.567809e-02	-3.509510e-02	9.417012e-03
9.772812212e-08	-2.227580e-02	1.207830e-02	-2.569883e-02	-3.512522e-02	9.426390e-03
9.96078552e-08	-2.229771e-02	1.209453e-02	-2.572210e-02	-3.515876e-02	9.436665e-03
1.014915208e-07	-2.231853e-02	1.211006e-02	-2.574415e-02	-3.519060e-02	9.446449e-03
1.033791436e-07	-2.233976e-02	1.212572e-02	-2.576674e-02	-3.522313e-02	9.456390e-03
